$ java Simulator parking.inf 11 

************************************************************
*                                                          *
*                                                          *
*                                                          *
*                                                          *
************************************************************

Total number of parkable spots (capacity): 58
=== SIMULATION START ===
R(IOU) ENTERED at timestep 311; occupancy is at 1
R(0K9) ENTERED at timestep 525; occupancy is at 2
S(PEE) ENTERED at timestep 616; occupancy is at 3
L(K5U) ENTERED at timestep 662; occupancy is at 4
E(7H3) ENTERED at timestep 1553; occupancy is at 5
E(O8A) ENTERED at timestep 1889; occupancy is at 6
R(YX6) ENTERED at timestep 1907; occupancy is at 7
R(CRS) ENTERED at timestep 2079; occupancy is at 8
R(H8L) ENTERED at timestep 2208; occupancy is at 9
R(NKF) ENTERED at timestep 2353; occupancy is at 10
R(W6G) ENTERED at timestep 2515; occupancy is at 11
R(2G5) ENTERED at timestep 3173; occupancy is at 12
R(A6C) ENTERED at timestep 3505; occupancy is at 13
R(00V) ENTERED at timestep 3584; occupancy is at 14
R(N5J) ENTERED at timestep 4575; occupancy is at 15
S(M3N) ENTERED at timestep 4791; occupancy is at 16
L(CK5) ENTERED at timestep 4907; occupancy is at 17
S(DJD) ENTERED at timestep 5152; occupancy is at 18
S(LTJ) ENTERED at timestep 5957; occupancy is at 19
R(KIJ) ENTERED at timestep 5960; occupancy is at 20
R(BBU) ENTERED at timestep 6212; occupancy is at 21
R(4SP) ENTERED at timestep 6373; occupancy is at 22
R(J2L) ENTERED at timestep 6682; occupancy is at 23
R(IM4) ENTERED at timestep 7618; occupancy is at 24
S(FZ2) ENTERED at timestep 7699; occupancy is at 25
R(QEC) ENTERED at timestep 8980; occupancy is at 26
R(27E) ENTERED at timestep 8996; occupancy is at 27
R(4SP) EXITED at timestep 9223; occupancy is at 26
R(Z91) ENTERED at timestep 10020; occupancy is at 27
R(00V) EXITED at timestep 10313; occupancy is at 26
R(1XO) ENTERED at timestep 10339; occupancy is at 27
R(MOA) ENTERED at timestep 10519; occupancy is at 28
R(4EF) ENTERED at timestep 10575; occupancy is at 29
S(FZ2) EXITED at timestep 10937; occupancy is at 28
R(CZG) ENTERED at timestep 11080; occupancy is at 29
R(3PT) ENTERED at timestep 11722; occupancy is at 30
R(IOU) EXITED at timestep 11786; occupancy is at 29
R(Y4P) ENTERED at timestep 11967; occupancy is at 30
S(20H) ENTERED at timestep 12008; occupancy is at 31
R(W6G) EXITED at timestep 12021; occupancy is at 30
R(CRS) EXITED at timestep 12384; occupancy is at 29
R(XPB) ENTERED at timestep 12780; occupancy is at 30
