$ java Simulator parking2.inf 11

************************************************************
*                                                          *
*                                                          *
*                                                          *
*                                                          *
************************************************************

Total number of parkable spots (capacity): 58
=== SIMULATION START ===
R(FCP) ENTERED at timestep 618; occupancy is at 1
R(UBB) ENTERED at timestep 1035; occupancy is at 2
S(S7Z) ENTERED at timestep 1184; occupancy is at 3
R(37D) ENTERED at timestep 1435; occupancy is at 4
R(4B8) ENTERED at timestep 1737; occupancy is at 5
R(3E2) ENTERED at timestep 2506; occupancy is at 6
R(N7H) ENTERED at timestep 2790; occupancy is at 7
S(CK9) ENTERED at timestep 2856; occupancy is at 8
R(VN8) ENTERED at timestep 2859; occupancy is at 9
R(4PA) ENTERED at timestep 3072; occupancy is at 10
R(3J7) ENTERED at timestep 3086; occupancy is at 11
R(4VL) ENTERED at timestep 3575; occupancy is at 12
R(9BX) ENTERED at timestep 3582; occupancy is at 13
R(AW7) ENTERED at timestep 3651; occupancy is at 14
S(NL7) ENTERED at timestep 3653; occupancy is at 15
R(YGR) ENTERED at timestep 4770; occupancy is at 16
R(W5F) ENTERED at timestep 5534; occupancy is at 17
R(AZF) ENTERED at timestep 5892; occupancy is at 18
E(W65) ENTERED at timestep 6647; occupancy is at 19
R(9G1) ENTERED at timestep 6662; occupancy is at 20
R(Z3H) ENTERED at timestep 6711; occupancy is at 21
R(74Z) ENTERED at timestep 6758; occupancy is at 22
R(ANY) ENTERED at timestep 7954; occupancy is at 23
L(9KP) ENTERED at timestep 8359; occupancy is at 24
L(ZS6) ENTERED at timestep 8404; occupancy is at 25
R(Y4E) ENTERED at timestep 9060; occupancy is at 26
L(L8P) ENTERED at timestep 9708; occupancy is at 27
L(0XP) ENTERED at timestep 9956; occupancy is at 28
R(ZJP) ENTERED at timestep 10172; occupancy is at 29
R(4ZN) ENTERED at timestep 10348; occupancy is at 30
R(PLB) ENTERED at timestep 10484; occupancy is at 31
S(NL7) EXITED at timestep 10637; occupancy is at 30
L(ZS6) EXITED at timestep 10951; occupancy is at 29
R(JR9) ENTERED at timestep 11065; occupancy is at 30
R(3E2) EXITED at timestep 11145; occupancy is at 29
R(4PA) EXITED at timestep 11676; occupancy is at 28
R(AKJ) ENTERED at timestep 11828; occupancy is at 29
S(7ZU) ENTERED at timestep 11983; occupancy is at 30
R(WXL) ENTERED at timestep 12362; occupancy is at 31
R(AN9) ENTERED at timestep 12633; occupancy is at 32
S(2DP) ENTERED at timestep 12653; occupancy is at 33
