NOTE: As you see, the command lines generating output2.txt
and output3.txt are the same. The simulation nonetheless unwinds
differently because the process is stochastic.

$ java Simulator parking2.inf 11

************************************************************
*                                                          *
*                                                          *
*                                                          *
*                                                          *
************************************************************

Total number of parkable spots (capacity): 58
=== SIMULATION START ===
S(K5C) ENTERED at timestep 449; occupancy is at 1
R(G31) ENTERED at timestep 737; occupancy is at 2
S(B3M) ENTERED at timestep 749; occupancy is at 3
R(9UP) ENTERED at timestep 1198; occupancy is at 4
L(CI0) ENTERED at timestep 1745; occupancy is at 5
S(AEE) ENTERED at timestep 2476; occupancy is at 6
R(JAQ) ENTERED at timestep 2574; occupancy is at 7
E(7II) ENTERED at timestep 2794; occupancy is at 8
S(JCS) ENTERED at timestep 3324; occupancy is at 9
L(PYD) ENTERED at timestep 3701; occupancy is at 10
L(NXE) ENTERED at timestep 4392; occupancy is at 11
S(4TX) ENTERED at timestep 4469; occupancy is at 12
L(DQJ) ENTERED at timestep 4488; occupancy is at 13
L(AHF) ENTERED at timestep 4992; occupancy is at 14
S(AEE) EXITED at timestep 5077; occupancy is at 13
R(L6L) ENTERED at timestep 5979; occupancy is at 14
R(E26) ENTERED at timestep 6393; occupancy is at 15
S(CYX) ENTERED at timestep 6444; occupancy is at 16
R(KMB) ENTERED at timestep 7023; occupancy is at 17
S(WO2) ENTERED at timestep 7118; occupancy is at 18
R(HIN) ENTERED at timestep 7192; occupancy is at 19
E(4XV) ENTERED at timestep 7225; occupancy is at 20
R(2VV) ENTERED at timestep 7643; occupancy is at 21
S(NHL) ENTERED at timestep 7891; occupancy is at 22
R(EFP) ENTERED at timestep 8145; occupancy is at 23
R(C4R) ENTERED at timestep 8821; occupancy is at 24
R(JAQ) EXITED at timestep 8903; occupancy is at 23
L(P2I) ENTERED at timestep 9008; occupancy is at 24
S(S9E) ENTERED at timestep 9049; occupancy is at 25
L(09H) ENTERED at timestep 9074; occupancy is at 26
R(X79) ENTERED at timestep 9363; occupancy is at 27
S(K5C) EXITED at timestep 9595; occupancy is at 26
E(0VM) ENTERED at timestep 9653; occupancy is at 27
R(ON7) ENTERED at timestep 9909; occupancy is at 28
R(KKU) ENTERED at timestep 9949; occupancy is at 29
S(WO2) EXITED at timestep 10168; occupancy is at 28
R(SS1) ENTERED at timestep 10292; occupancy is at 29
R(2LF) ENTERED at timestep 11093; occupancy is at 30
E(7II) EXITED at timestep 11568; occupancy is at 29
R(U81) ENTERED at timestep 11889; occupancy is at 30
S(4TX) EXITED at timestep 12571; occupancy is at 29
R(7TO) ENTERED at timestep 12689; occupancy is at 30
R(EZ9) ENTERED at timestep 12779; occupancy is at 31
R(Y4S) ENTERED at timestep 12855; occupancy is at 32
L(QLA) ENTERED at timestep 12862; occupancy is at 33
S(J3I) ENTERED at timestep 13039; occupancy is at 34
R(VYN) ENTERED at timestep 13400; occupancy is at 35
R(PWC) ENTERED at timestep 13500; occupancy is at 36
E(PHA) ENTERED at timestep 13567; occupancy is at 37
R(8C9) ENTERED at timestep 14218; occupancy is at 38
S(RLY) ENTERED at timestep 14222; occupancy is at 39
R(8C9) EXITED at timestep 14822; occupancy is at 38
R(P3Z) ENTERED at timestep 15028; occupancy is at 39
R(QO3) ENTERED at timestep 15747; occupancy is at 40
S(RRI) ENTERED at timestep 15805; occupancy is at 41
R(YNQ) ENTERED at timestep 15850; occupancy is at 42
R(A4H) ENTERED at timestep 15894; occupancy is at 43
L(W2P) ENTERED at timestep 16003; occupancy is at 44
R(FT6) ENTERED at timestep 16639; occupancy is at 45
R(O3M) ENTERED at timestep 16936; occupancy is at 46
R(175) ENTERED at timestep 16968; occupancy is at 47
R(EZ9) EXITED at timestep 17153; occupancy is at 46
R(CI7) ENTERED at timestep 17252; occupancy is at 47
R(L6L) EXITED at timestep 17346; occupancy is at 46
R(Y4S) EXITED at timestep 17666; occupancy is at 45
R(Z25) ENTERED at timestep 18099; occupancy is at 46
E(0VM) EXITED at timestep 18239; occupancy is at 45
R(HIN) EXITED at timestep 18761; occupancy is at 44
R(69U) ENTERED at timestep 19650; occupancy is at 45
R(YNQ) EXITED at timestep 19768; occupancy is at 44
S(8EO) ENTERED at timestep 20236; occupancy is at 45
L(PYD) EXITED at timestep 20356; occupancy is at 44
R(WQZ) ENTERED at timestep 20511; occupancy is at 45
R(B37) ENTERED at timestep 20598; occupancy is at 46
R(E26) EXITED at timestep 20797; occupancy is at 45
L(DQJ) EXITED at timestep 20832; occupancy is at 44
L(NXE) EXITED at timestep 21397; occupancy is at 43
E(GCQ) ENTERED at timestep 21412; occupancy is at 44
R(P3Z) EXITED at timestep 21618; occupancy is at 43
L(2VV) ENTERED at timestep 21818; occupancy is at 44
L(FQ7) ENTERED at timestep 21862; occupancy is at 45
R(7WF) ENTERED at timestep 22063; occupancy is at 46
S(CYX) EXITED at timestep 22523; occupancy is at 45
R(8TB) ENTERED at timestep 22578; occupancy is at 46
S(JCS) EXITED at timestep 22580; occupancy is at 45
R(EFP) EXITED at timestep 22757; occupancy is at 44
R(ON7) EXITED at timestep 23258; occupancy is at 43
