What is the main solid ingredient of Alphabet soup?	Pasta	Rice	Potato	Egg	Food & Drink	1
How many cups of tea does the average English person drink a day?	4	2	8	16	Food & Drink	2
How many frogs does the average Frenchmen eat a year?	4	1	24	88	Food & Drink	2
Since the late 1980s what is the newest Smartie colour?	blue	pink	yellow	green	Food & Drink	2
The name of which island is also an orange liquor?	Curacao	Ibiza	Grenada	Anguilla	Food & Drink	2
In which country does 'Pivo' mean beer?	Czech Rep	Portugal	Greece	France	Food & Drink	2
Which four letters on a bottle of French wine indicate it is sweet?	DOUX	VOUX	FOUX	SOUX	Food & Drink	2
Where is the cordon bleu school of cooking?	Paris	Lyon	Brussels	Amsterdam	Food & Drink	2
The letters TGFOP can be found on what?	tea	cigars	silver	caviar	Food & Drink	2
How many coffee beans are said to be in every cup of Nescafe?	43	33	53	63	Food & Drink	3
How many bottles of wine does the average Frenchman drink a year?	140	240	70	370	Food & Drink	3
Which food means 'immortal' when translated?	ambrosia	curry	pizza	nectar	Food & Drink	3
Which drink is named after a royal family?	Bourbon	Vodka	Rum	Tequila	Food & Drink	3
In which country does 'Sor' mean beer?	Hungary	Portugal	Greece	Czech Rep	Food & Drink	3
How many summer Olympic games were cancelled because of World War 2?	2	1	0	3	Games	1
How many games must you win to win a normal set in tennis?	6	8	10	5	Games	1
How long is a regulation soccer game?	90 Minutes	60 Minutes	120 Minutes	30 Minutes	Games	1
"In which game are ""Staunton"" pieces used?"	Chess	Poker	Cribbage	Bridge	Games	1
If you are playing Southern Cross, you are playing a form of which game?	Poker	Cribbage	Bridge	Backgammon	Games	1
"In which game might a person have a ""full house""?"	Poker	Cribbage	Bridge	Backgammon	Games	1
How many stones does a backgammon player have?	15	12	13	17	Games	2
"If you ""peg out"" what game are you playing?"	Cribbage	Bridge	Backgammon	Chess	Games	2
Which of the following is not one of the train stations on a Monopoly board?	Paddington	Fenchurch Street 	Marylebone Street	Kings Cross	Games	2
If you're killing a goomba, what game are you playing?	Super Mario	Doom	Sonic the Hedgehog	Quake	Games	2
How many Jack's eyes are visible in a standard pack of playing cards?	12	16	8	4	Games	3
How many eyes are there in a deck of cards?	42	36	38	40	Games	3
How many white dots in a traditional Pacman arcade game ?	240	200	140	100	Games	3
Complete the saying: Every dog has his ___	Day	Week	Bone	Night	Language	1
The names of the days of the week in English have their origins with Pagan gods from which mythology?	Norse	Celtic	Greek	Roman	Language	1
How many letters does the longest word in the English language have?	45	25	75	115	Language	2
What colour is viridian?	green	yellow	red	blue	Language	2
What is the most commonly used word in English conversation?	I	it	you	at	Language	2
What is kept in a grimoire?	magic spells	butterflies	cigars	stamps	Language	2
Which of the following is not a surname in the USA?	Q	J	F	W	Language	2
What is the opposite of the orient?	the occident	the ocrident	the oricrent	the arient	Language	2
How many letters are there in the Hawaiin alphabet?	12	6	26	126	Language	3
How many different languages were spoken in the former Soviet Union?	149	49	29	229	Language	3
Voetbal means football in which European language?	Dutch	German	Polish	Bulgarian	Language	3
Jalkapallo means football in which European language?	Finnish	Albanian	Hungarian	Greek	Language	3
Podos Fairo means football in which European language?	Greek	Italian	Spanish	Portugese	Language	3
What is a Big Mac called in Japan?	Makudonaldo	Big Mac	Mikadomako	Bigimaki	Language	3
Pilka Nozna means football in which European language?	Polish	Russian	Swedish	Portugese	Language	3
How does one communicate in the language called Todomo?	touching	words	sign language	whistling	Language	3
How does one communicate in the language called Gogo?	words	touching	whistling	sign language	Language	3
How many self portraits did Rembrandt paint?	62	462	12	262	Literature	2
How many paintings did Van Gogh sell in his lifetime?	1	2	6	11	Literature	3
How many times a day does the average American open the fridge door?	22	6	44	99	Miscellaneous	2
How many articles of clothing does the average American male buy for himself each year?	35	15	5	55	Miscellaneous	3
How many instruments accompany someone singing a cappella?	0	1	2	3	Music	1
How many ways did Paul Simon claim there were to leave your lover?	50	40	30	20	Music	1
In which year did the original Woodstock Festival take place?	1969	1972	1966	1978	Music	1
Which year is a Prince album?	1999	1984	2001	1969	Music	1
Who sang the Bond theme song 'The Living Daylights'?	A-Ha	Duran Duran	Wings	Tina Turner	Music	1
Which animal was a hit for Fleetwood Mac?	Albatross	Butterfly	Hyena	Giraffe	Music	1
What was a hit for Madness?	Baggy Trousers	Jeans On	Angst In My Pants	Necktie	Music	1
Which way was a hit for Gerry Rafferty?	Baker Street	Boulevard of broken dreams	2120 South Michigan Avenue	Thunder Road	Music	1
Which singer was born Robert Zimmerman?	Bob Dylan	Eric Clapton	Simon Le Bon	Bob Seger	Music	1
Who sang the Bond theme song 'Nobody Does It Better'?	Carly Simon	Sheena Easton	Tina Turner	Nancy Sinatra	Music	1
Which girl was a Simon and Garfunkel hit?	Cecilia	Roxanne	Gloria	Angie	Music	1
What was a hit for the Police?	De Do Do Do, De Da Da Da	Da Doo Ron Ron	Zip A Dee Doo Dah	Do Wah Diddy Diddy 	Music	1
Who sang the Bond theme song 'A View To A Kill'?	Duran Duran	A-Ha	Garbage	Tom Jones	Music	1
What is Marshall Mathers stage name?	Eminem	Ice-T	Ice Cube	Grandmaster Flash	Music	1
What were the Beatles called in the early 1960s?	Fab Four	Four Tops	Pre Fabs	Four Seasons	Music	1
What was the title of the Beatles first number one hit in the UK?	From me to you	Help	Yesterday	A hard days night	Music	1
Which famous brothers are members of the band Oasis?	Gallagher	Everly	Moore	Reid	Music	1
Who released the best selling album 'American Idiot' in 2005?	Green Day	Mariah Carey	Madonna	Coldplay	Music	1
What  was a hit for Neil Young?	Heart of Gold	Silver Bird	Golden Years	Hi-Ho Silver Lining	Music	1
Which hotel was a hit for Elvis?	Heartbreak Hotel	Hotel California	Handog Hotel Room	Holiday Inn	Music	1
Who fought the law (and the law won)?	I	You	We	They	Music	1
Who had a hit with 'Lust For Life'?	Iggy Pop	The Police	Poco	Prince	Music	1
"Where were Alphaville ""Big""?"	In Japan	In Sweden	In the USA	In New York	Music	1
What time was a hit for Wilson Pickett?	In the Midnight Hour	After Midnight	Midnight Special	Midnight in Chelsea	Music	1
Which question did Duran Duran ask in 1983?	Is there something I should know?	Is she really going out with him?	How will I know?	How long?	Music	1
What was the title of the Rolling Stones first number one hit in the UK?	It's all over now	Ruby Tuesday	Get off my cloud	Angie	Music	1
Who composed three number one UK hits in 1981?	John Lennon	Freddy Mercury	Michael Jackson	Julio Iglesias	Music	1
Who's band was The Quarrymen?	John Lennon	Elvis Costello	Barry Gibb	Mick Jagger	Music	1
Who sang 'Don't Go Breaking My Heart' with Elton John in 1976?	Kiki Dee	Lulu	Nancy Sinatra	Sheena Easton	Music	1
Which metal band had a hit with ' Whole Lotta Love'?	Led Zeppelin	Black Sabbath	Deep Purple	Ten Years After	Music	1
Which rock star married All Saints singer Nicole Appleton in 2008?	Liam Gallagher	Bono	Mick Jagger	Jarvis Cocker	Music	1
Who managed the punk group The Sex Pistols?	Malcolm McClaren	John Lydon	Sid Vicious	They were unmanagable	Music	1
Barry Manilow had a hit with which song?	Mandy	Randy	Candy	Dandy	Music	1
Which band is fronted by James Dean Bradfield?	Manic Street Preachers	The Stereophonics	The Alarm	Goldie Lookin Chain	Music	1
Which state was a hit for the Bee Gees?	Massachusetts	Alaska	California	Vermont	Music	1
Which day was a hit for the Mamas and Papas?	Monday Monday	Ruby Tuesday	Wednesday Morning 3 am	Friday on my mind	Music	1
Which Mr. was a hit for ELO ?	Mr. Blue Sky	Mr. Bojangles	Mr. Tambourine Man	Mr. Cabdriver 	Music	1
Which Mrs. was a hit for Simon and Garfunkel?	Mrs. Robinson	Mrs. Brown, You've got a lovely daughter	Mrs. Vanderbilt	Mrs. Sippi	Music	1
Which Beatle often played his instrument upside down?	Paul	John	George	Ringo	Music	1
Stevie Wonder and Michael Jackson have both recorded duets with which former Beatle?	Paul McCartney	Ringo Starr	John Lennon	George Harrison	Music	1
What was a hit for Falco?	Rock me Amadeus	Roll over Beethoven	Mozart lives upstairs	Stravinky's shoes	Music	1
What was Herbie Hancocks's spacey hit in 1984?	Rockit	Space Oddity	Major Tom	Rocket Man	Music	1
Which day was a hit for the Rolling Stones?	Ruby Tuesday	Fridays Child	Monday Monday	Friday on my mind	Music	1
What was Louis Armstrong's nickname?	Satchmo	Bird	Godfather of Soul	Boss	Music	1
Who sang the Bond theme song 'Diamonds Are Forever'?	Shirley Bassey	Matt Munro	Nancy Sinatra	Sheena Easton	Music	1
Who sang the Bond theme song 'Goldfinger'?	Shirley Bassey	Lulu	Nancy Sinatra	Tom Jones	Music	1
Who sang the Bond theme song 'Moonraker'?	Shirley Bassey	Nancy Sinatra	Tom Jones	Matt Munro	Music	1
What was a hit song for Lulu?	Shout	Scream	Cry	Yell	Music	1
What is Eric Clapton's nickname?	Slow Hand	The Boss	Plonk	His Ericness	Music	1
David Bowie had a spacey hit with which song?	Space Oddity	Rocket Man	Mercury Rising	2000 Light Years From Home	Music	1
Julio Iglesias is a singer from which country?	Spain	Portugal	Brazil	Peru	Music	1
Who had a number one UK hit with Jack Your Body in 1987?	Steve 'Silk' Hurley	Steve 'Satin' Hurley	Steve 'Cotton' Hurley	Steve 'Woolly' Hurley	Music	1
Who sang 'No More Heroes'?	Stranglers	Bowie	Leonard Cohen	Tina Turner	Music	1
What was a hit for the Archies?	Sugar Sugar	Sugar Me	Brown Sugar	Sugar and Spice	Music	1
What was a hit for the Eurythmics?	Sweet Dreams	Dream On	Dream Lover	Dreams Of The Everyday Housewife	Music	1
Who sang the Bond theme song 'Goldeneye'?	Tina Turner	Madonna	Sheryl Crow	Lulu	Music	1
Which band had an instrumental hit with 'Telstar'?	Tornadoes	Shadows	Dakotas	Ventures	Music	1
Which city was a hit for Ultravox?	Vienna	Barcelona	Tokyo	Bangkok	Music	1
Which tube station was a hit for the Kinks?	Waterloo Sunset	Vauxhall to Lambeth Bridge	Possibly Parson's Green	No sleep till Hammersmith	Music	1
"""Seasons in the Sun"" was part of a double A side for which band in 1999?"	Westlife	Boyzone	Take That	East 17	Music	1
Who sang the Bond theme song 'Live And Let Die'?	Wings	Herb Alpert	Tom Jones	Matt Munro	Music	1
What was the first free rock festival, held over 3 days in 1969?	Woodstock	Glastonbury	Reading	Love Parade	Music	1
How many operas did Beethoven compose?	1	2	3	4	Music	2
How many foot pedals does a concert grand piano have?	3	2	0	4	Music	2
For every seven white keys on a piano, how many black keys are there?	5	6	4	3	Music	2
How many keys are there on a piano?	88	64	66	86	Music	2
What number was not a Boy Band?	711	East 17	Heaven 17	112	Music	2
'Sunday Girl' was Blondie's second number one.  In what year was this?	1979	1981	1977	1983	Music	2
What time is it in the song Manic Monday?	6 o'clock	12 o'clock	3 o'clock	5 o'clock	Music	2
What did Leo Sayer wear to promote the song ‘I won’t let the show go on‘?	A clown costume	A police uniform	A straightjacket	A sherif's uniform	Music	2
"Which Beatles album featured the song ""And I Love Her""?"	A Hard Day's Night	Please, Please Me	Yellow Submarine	Abbey Road	Music	2
"Which Beatles album featured the song ""Can't Buy Me Love""?"	A Hard Day's Night	Please, Please Me	Yellow Submarine	Abbey Road	Music	2
Who broke his ankle tripping over a stuffed toy that was thrown on stage by a fan?	A New Kid on the Block	A Backstreet Boy	A Beach Boy	A Boyszone Boy	Music	2
Festfolk was the original name for which group ?	ABBA	Motorhead	Simon and Garfunkel	The Beach Boys	Music	2
"Which Beatles album featured the song ""Come Together""?"	Abbey Road	Please, Please Me	A Hard Day's Night 	Yellow Submarine	Music	2
"Which Beatles album featured the song ""Here Comes the Sun""?"	Abbey Road	Please, Please Me	A Hard Day's Night 	Yellow Submarine	Music	2
Who was the first Brit with a number one hit single in the USA?	Acker Bilk	Beatles	Petula Clark	Herman's Hermits	Music	2
The Beatles had a spacey hit with which song?	Across the Universe	Space Oddity	Rocket Man	Milky Way	Music	2
What time was a hit for Eric Clapton?	After Midnight	Midnight in Moscow	Midnight Special	Midnite Dynamos	Music	2
Both Lenny Kravitz and The Guess Who had a hit with which woman?	American	Kentucky	Hard Headed	Super	Music	2
What was a Pink Floyd album?	Animals	Humans	Aliens	Dinosaurs	Music	2
Which ABBA member was not born in Sweden?	Anni-Frid	Bjorn 	Benny	Agnetha	Music	2
What was a hit for Mike and the Mechanics?	Another cup of coffee	Black coffee in bed	Espresso	Coffee table song	Music	2
Rock band AC/DC come from which country?	Australia	United Kingdom	USA	Canada	Music	2
What was a hit song for ACDC?	Back in Black	Mean in Green	Knight in White	Stay in Grey	Music	2
Carl and the Passions changed band name to what?	Beach Boys	The Turtles	The Animals	The Chipmunks	Music	2
